ID	Symbol	Type
Gm29570	ENSMUSG00000101476	Gm29570	Gene Expression
Gm7593	ENSMUSG00000101171	Gm7593	Gene Expression
Tram1	ENSMUSG00000025935	Tram1	Gene Expression
Lactb2	ENSMUSG00000025937	Lactb2	Gene Expression
Gm38319	ENSMUSG00000102982	Gm38319	Gene Expression
Xkr9	ENSMUSG00000067813	Xkr9	Gene Expression
Gm36947	ENSMUSG00000102166	Gm36947	Gene Expression
Gm37400	ENSMUSG00000104209	Gm37400	Gene Expression
Eya1	ENSMUSG00000025932	Eya1	Gene Expression
Gm9947	ENSMUSG00000054493	Gm9947	Gene Expression
Msc	ENSMUSG00000025930	Msc	Gene Expression
Rpl5-ps1	ENSMUSG00000082193	Rpl5-ps1	Gene Expression
Trpa1	ENSMUSG00000032769	Trpa1	Gene Expression
Kcnb2	ENSMUSG00000092083	Kcnb2	Gene Expression
Gm38116	ENSMUSG00000102937	Gm38116	Gene Expression
Gm37138	ENSMUSG00000104149	Gm37138	Gene Expression
Gm6060	ENSMUSG00000101652	Gm6060	Gene Expression
Terf1	ENSMUSG00000025925	Terf1	Gene Expression
Gm37509	ENSMUSG00000104379	Gm37509	Gene Expression
Sbspon	ENSMUSG00000032719	Sbspon	Gene Expression
4930444P10Rik	ENSMUSG00000067795	4930444P10Rik	Gene Expression
Rpl7	ENSMUSG00000043716	Rpl7	Gene Expression
Rdh10	ENSMUSG00000025921	Rdh10	Gene Expression
Stau2	ENSMUSG00000025920	Stau2	Gene Expression
Gm7568	ENSMUSG00000089982	Gm7568	Gene Expression
Ube2w	ENSMUSG00000025939	Ube2w	Gene Expression
Gm38342	ENSMUSG00000102457	Gm38342	Gene Expression
Eloc	ENSMUSG00000079658	Eloc	Gene Expression
D030040B21Rik	ENSMUSG00000097744	D030040B21Rik	Gene Expression
Gm7654	ENSMUSG00000100959	Gm7654	Gene Expression
Tmem70	ENSMUSG00000025940	Tmem70	Gene Expression
Ly96	ENSMUSG00000025779	Ly96	Gene Expression
Gm29649	ENSMUSG00000100093	Gm29649	Gene Expression
Gm5828	ENSMUSG00000091020	Gm5828	Gene Expression
4921511E07Rik	ENSMUSG00000104133	4921511E07Rik	Gene Expression
Jph1	ENSMUSG00000042686	Jph1	Gene Expression
Gm28783	ENSMUSG00000100110	Gm28783	Gene Expression
Gdap1	ENSMUSG00000025777	Gdap1	Gene Expression
Gm28784	ENSMUSG00000099899	Gm28784	Gene Expression
Gm5251	ENSMUSG00000100398	Gm5251	Gene Expression
Rbm6-ps1	ENSMUSG00000101589	Rbm6-ps1	Gene Expression
Pi15	ENSMUSG00000067780	Pi15	Gene Expression
Gm16070	ENSMUSG00000085125	Gm16070	Gene Expression
Crispld1	ENSMUSG00000025776	Crispld1	Gene Expression
Gm28153	ENSMUSG00000099895	Gm28153	Gene Expression
Gm28756	ENSMUSG00000109887	Gm28756	Gene Expression
Crisp4	ENSMUSG00000025774	Crisp4	Gene Expression
Defb18	ENSMUSG00000073735	Defb18	Gene Expression
Defb41	ENSMUSG00000067773	Defb41	Gene Expression
Gm15825	ENSMUSG00000089787	Gm15825	Gene Expression
Tfap2b	ENSMUSG00000025927	Tfap2b	Gene Expression
Gm28340	ENSMUSG00000100538	Gm28340	Gene Expression
Gm38382	ENSMUSG00000102597	Gm38382	Gene Expression
Pkhd1	ENSMUSG00000043760	Pkhd1	Gene Expression
Gm37315	ENSMUSG00000104095	Gm37315	Gene Expression
4930486I03Rik	ENSMUSG00000089914	4930486I03Rik	Gene Expression
Il17a	ENSMUSG00000025929	Il17a	Gene Expression
Il17f	ENSMUSG00000041872	Il17f	Gene Expression
Mcm3	ENSMUSG00000041859	Mcm3	Gene Expression
Gm20587	ENSMUSG00000099714	Gm20587	Gene Expression
6720483E21Rik	ENSMUSG00000097934	6720483E21Rik	Gene Expression
Paqr8	ENSMUSG00000025931	Paqr8	Gene Expression
Efhc1	ENSMUSG00000041809	Efhc1	Gene Expression
Tram2	ENSMUSG00000041779	Tram2	Gene Expression
Tmem14a	ENSMUSG00000025933	Tmem14a	Gene Expression
Gm38224	ENSMUSG00000102633	Gm38224	Gene Expression
Gsta3	ENSMUSG00000025934	Gsta3	Gene Expression
Gm28836	ENSMUSG00000099343	Gm28836	Gene Expression
Gm7094	ENSMUSG00000096375	Gm7094	Gene Expression
Gm4956	ENSMUSG00000025936	Gm4956	Gene Expression
Kcnq5	ENSMUSG00000028033	Kcnq5	Gene Expression
Gm7658	ENSMUSG00000082935	Gm7658	Gene Expression
Gm5696	ENSMUSG00000099692	Gm5696	Gene Expression
Rims1	ENSMUSG00000041670	Rims1	Gene Expression
Gm7761	ENSMUSG00000101468	Gm7761	Gene Expression
Gm29506	ENSMUSG00000101227	Gm29506	Gene Expression
4933415F23Rik	ENSMUSG00000073730	4933415F23Rik	Gene Expression
Gm6420	ENSMUSG00000102766	Gm6420	Gene Expression
Gm29107	ENSMUSG00000100775	Gm29107	Gene Expression
Ogfrl1	ENSMUSG00000026158	Ogfrl1	Gene Expression
B3gat2	ENSMUSG00000026156	B3gat2	Gene Expression
Smap1	ENSMUSG00000026155	Smap1	Gene Expression
Sdhaf4	ENSMUSG00000026154	Sdhaf4	Gene Expression
Gm26524	ENSMUSG00000102495	Gm26524	Gene Expression
Fam135a	ENSMUSG00000026153	Fam135a	Gene Expression
Gm37580	ENSMUSG00000102398	Gm37580	Gene Expression
Col9a1	ENSMUSG00000026147	Col9a1	Gene Expression
Col19a1	ENSMUSG00000026141	Col19a1	Gene Expression
Tubb4b-ps2	ENSMUSG00000099997	Tubb4b-ps2	Gene Expression
Gm28439	ENSMUSG00000100131	Gm28439	Gene Expression
Gm28438	ENSMUSG00000101939	Gm28438	Gene Expression
Gm28437	ENSMUSG00000101111	Gm28437	Gene Expression
Gm10925	ENSMUSG00000100862	Gm10925	Gene Expression
Gm29216	ENSMUSG00000101249	Gm29216	Gene Expression
Lmbrd1	ENSMUSG00000073725	Lmbrd1	Gene Expression
Gm28237	ENSMUSG00000100483	Gm28237	Gene Expression
Gm9443	ENSMUSG00000100450	Gm9443	Gene Expression
Gm29414	ENSMUSG00000099392	Gm29414	Gene Expression
Adgrb3	ENSMUSG00000033569	Adgrb3	Gene Expression
Gm20172	ENSMUSG00000104257	Gm20172	Gene Expression
Gm37543	ENSMUSG00000102296	Gm37543	Gene Expression
Gm37331	ENSMUSG00000103209	Gm37331	Gene Expression
Gm37211	ENSMUSG00000104027	Gm37211	Gene Expression
Gm37862	ENSMUSG00000102407	Gm37862	Gene Expression
Gm38286	ENSMUSG00000103214	Gm38286	Gene Expression
Gm37880	ENSMUSG00000104100	Gm37880	Gene Expression
Gm37011	ENSMUSG00000103889	Gm37011	Gene Expression
Gm29214	ENSMUSG00000101301	Gm29214	Gene Expression
Gm37051	ENSMUSG00000104221	Gm37051	Gene Expression
Gm38260	ENSMUSG00000102250	Gm38260	Gene Expression
Gm37628	ENSMUSG00000102317	Gm37628	Gene Expression
8030445P17Rik	ENSMUSG00000103563	8030445P17Rik	Gene Expression
Gm38198	ENSMUSG00000102465	Gm38198	Gene Expression
Gm37077	ENSMUSG00000102659	Gm37077	Gene Expression
Gm37895	ENSMUSG00000103924	Gm37895	Gene Expression
Gm36952	ENSMUSG00000104132	Gm36952	Gene Expression
Gm37602	ENSMUSG00000102747	Gm37602	Gene Expression
2900022M07Rik	ENSMUSG00000102386	2900022M07Rik	Gene Expression
2900002M20Rik	ENSMUSG00000103004	2900002M20Rik	Gene Expression
Gm9884	ENSMUSG00000104516	Gm9884	Gene Expression
4931408C20Rik	ENSMUSG00000073722	4931408C20Rik	Gene Expression
Gm19641	ENSMUSG00000100310	Gm19641	Gene Expression
Gm38089	ENSMUSG00000103241	Gm38089	Gene Expression
Gm7846	ENSMUSG00000086240	Gm7846	Gene Expression
Gm597	ENSMUSG00000048411	Gm597	Gene Expression
Gm5697	ENSMUSG00000081557	Gm5697	Gene Expression
Gm6462	ENSMUSG00000058590	Gm6462	Gene Expression
Gm5525	ENSMUSG00000099492	Gm5525	Gene Expression
Gm9898	ENSMUSG00000053185	Gm9898	Gene Expression
Phf3	ENSMUSG00000048874	Phf3	Gene Expression
Gm37522	ENSMUSG00000103783	Gm37522	Gene Expression
Gm37906	ENSMUSG00000104315	Gm37906	Gene Expression
Ptp4a1	ENSMUSG00000026064	Ptp4a1	Gene Expression
Gm9458	ENSMUSG00000086726	Gm9458	Gene Expression
4931428L18Rik	ENSMUSG00000086727	4931428L18Rik	Gene Expression
Gm29128	ENSMUSG00000100910	Gm29128	Gene Expression
Gm7893	ENSMUSG00000099796	Gm7893	Gene Expression
Lgsn	ENSMUSG00000050217	Lgsn	Gene Expression
Pih1d3	ENSMUSG00000026063	Pih1d3	Gene Expression
Gm19680	ENSMUSG00000070960	Gm19680	Gene Expression
Gm7910	ENSMUSG00000082159	Gm7910	Gene Expression
Khdrbs2	ENSMUSG00000026058	Khdrbs2	Gene Expression
Gm37999	ENSMUSG00000103482	Gm37999	Gene Expression
Gm37911	ENSMUSG00000104313	Gm37911	Gene Expression
Gm9839	ENSMUSG00000102865	Gm9839	Gene Expression
Gm37792	ENSMUSG00000102321	Gm37792	Gene Expression
Gm5415	ENSMUSG00000091318	Gm5415	Gene Expression
Gm23453	ENSMUSG00000065260	Gm23453	Gene Expression
Prim2	ENSMUSG00000026134	Prim2	Gene Expression
Gm29228	ENSMUSG00000101682	Gm29228	Gene Expression
Gm37618	ENSMUSG00000102714	Gm37618	Gene Expression
Gm17813	ENSMUSG00000102093	Gm17813	Gene Expression
1700001G17Rik	ENSMUSG00000103746	1700001G17Rik	Gene Expression
Gm38173	ENSMUSG00000102198	Gm38173	Gene Expression
Rab23	ENSMUSG00000004768	Rab23	Gene Expression
Bag2	ENSMUSG00000042215	Bag2	Gene Expression
Zfp451	ENSMUSG00000042197	Zfp451	Gene Expression
Gm15455	ENSMUSG00000081402	Gm15455	Gene Expression
Bend6	ENSMUSG00000042182	Bend6	Gene Expression
Gm37067	ENSMUSG00000104416	Gm37067	Gene Expression
Dst	ENSMUSG00000026131	Dst	Gene Expression
Gm37354	ENSMUSG00000103596	Gm37354	Gene Expression
Gm38157	ENSMUSG00000103364	Gm38157	Gene Expression
Gm26788	ENSMUSG00000096992	Gm26788	Gene Expression
Gm3052	ENSMUSG00000101462	Gm3052	Gene Expression
Gm37233	ENSMUSG00000102336	Gm37233	Gene Expression
Ccdc115	ENSMUSG00000042111	Ccdc115	Gene Expression
Gm28306	ENSMUSG00000101711	Gm28306	Gene Expression
Imp4	ENSMUSG00000026127	Imp4	Gene Expression
Ptpn18	ENSMUSG00000026126	Ptpn18	Gene Expression
Gm28417	ENSMUSG00000100280	Gm28417	Gene Expression
4930568A12Rik	ENSMUSG00000101223	4930568A12Rik	Gene Expression
Prss39	ENSMUSG00000026125	Prss39	Gene Expression
Cfc1	ENSMUSG00000026124	Cfc1	Gene Expression
Prss40	ENSMUSG00000037529	Prss40	Gene Expression
1700101I19Rik	ENSMUSG00000045815	1700101I19Rik	Gene Expression
Amer3	ENSMUSG00000045174	Amer3	Gene Expression
AA619741	ENSMUSG00000104098	AA619741	Gene Expression
Arhgef4	ENSMUSG00000037509	Arhgef4	Gene Expression
Gm38336	ENSMUSG00000104002	Gm38336	Gene Expression
Fam168b	ENSMUSG00000037503	Fam168b	Gene Expression
Plekhb2	ENSMUSG00000026123	Plekhb2	Gene Expression
Gm19430	ENSMUSG00000103716	Gm19430	Gene Expression
Gm8009	ENSMUSG00000103760	Gm8009	Gene Expression
Gm25096	ENSMUSG00000077231	Gm25096	Gene Expression
Gm37068	ENSMUSG00000104417	Gm37068	Gene Expression
1110002O04Rik	ENSMUSG00000102531	1110002O04Rik	Gene Expression
Gm37146	ENSMUSG00000102279	Gm37146	Gene Expression
Gm33222	ENSMUSG00000103708	Gm33222	Gene Expression
4930535G08Rik	ENSMUSG00000104201	4930535G08Rik	Gene Expression
Gm38049	ENSMUSG00000102434	Gm38049	Gene Expression
Hs6st1	ENSMUSG00000045216	Hs6st1	Gene Expression
Gm33280	ENSMUSG00000102202	Gm33280	Gene Expression
Uggt1	ENSMUSG00000037470	Uggt1	Gene Expression
Neurl3	ENSMUSG00000047180	Neurl3	Gene Expression
Arid5a	ENSMUSG00000037447	Arid5a	Gene Expression
4930403P22Rik	ENSMUSG00000102762	4930403P22Rik	Gene Expression
Kansl3	ENSMUSG00000010453	Kansl3	Gene Expression
Fer1l5	ENSMUSG00000037432	Fer1l5	Gene Expression
Lman2l	ENSMUSG00000001143	Lman2l	Gene Expression
Cnnm4	ENSMUSG00000037408	Cnnm4	Gene Expression
Gm37909	ENSMUSG00000104316	Gm37909	Gene Expression
Cnnm3	ENSMUSG00000001138	Cnnm3	Gene Expression
Gm38033	ENSMUSG00000102845	Gm38033	Gene Expression
Ankrd23	ENSMUSG00000067653	Ankrd23	Gene Expression
Gm42417	ENSMUSG00000109510	Gm42417	Gene Expression
Ankrd39	ENSMUSG00000079610	Ankrd39	Gene Expression
Sema4c	ENSMUSG00000026121	Sema4c	Gene Expression
D430040D24Rik	ENSMUSG00000087589	D430040D24Rik	Gene Expression
Fam178b	ENSMUSG00000046337	Fam178b	Gene Expression
Gm6428	ENSMUSG00000089906	Gm6428	Gene Expression
Cox5b	ENSMUSG00000061518	Cox5b	Gene Expression
Actr1b	ENSMUSG00000037351	Actr1b	Gene Expression
4933424G06Rik	ENSMUSG00000102416	4933424G06Rik	Gene Expression
Gm33533	ENSMUSG00000104237	Gm33533	Gene Expression
Zap70	ENSMUSG00000026117	Zap70	Gene Expression
Tmem131	ENSMUSG00000026116	Tmem131	Gene Expression
Gm38115	ENSMUSG00000102930	Gm38115	Gene Expression
F830112A20Rik	ENSMUSG00000103159	F830112A20Rik	Gene Expression
Rpl12-ps1	ENSMUSG00000080054	Rpl12-ps1	Gene Expression
Vwa3b	ENSMUSG00000050122	Vwa3b	Gene Expression
Gm37020	ENSMUSG00000103603	Gm37020	Gene Expression
Cnga3	ENSMUSG00000026114	Cnga3	Gene Expression
1700074A21Rik	ENSMUSG00000102231	1700074A21Rik	Gene Expression
Inpp4a	ENSMUSG00000026113	Inpp4a	Gene Expression
4930439A04Rik	ENSMUSG00000086064	4930439A04Rik	Gene Expression
Coa5	ENSMUSG00000026112	Coa5	Gene Expression
Unc50	ENSMUSG00000026111	Unc50	Gene Expression
Mgat4a	ENSMUSG00000026110	Mgat4a	Gene Expression
4930594C11Rik	ENSMUSG00000103948	4930594C11Rik	Gene Expression
Gm43213	ENSMUSG00000087233	Gm43213	Gene Expression
2010300C02Rik	ENSMUSG00000026090	2010300C02Rik	Gene Expression
4930556I23Rik	ENSMUSG00000089767	4930556I23Rik	Gene Expression
4930470B04Rik	ENSMUSG00000104365	4930470B04Rik	Gene Expression
Tsga10	ENSMUSG00000060771	Tsga10	Gene Expression
Gm26805	ENSMUSG00000097268	Gm26805	Gene Expression
Lipt1	ENSMUSG00000037216	Lipt1	Gene Expression
Mitd1	ENSMUSG00000026088	Mitd1	Gene Expression
Mrpl30	ENSMUSG00000026087	Mrpl30	Gene Expression
Gm15457	ENSMUSG00000087374	Gm15457	Gene Expression
Lyg1	ENSMUSG00000026085	Lyg1	Gene Expression
Txndc9	ENSMUSG00000058407	Txndc9	Gene Expression
Eif5b	ENSMUSG00000026083	Eif5b	Gene Expression
Rev1	ENSMUSG00000026082	Rev1	Gene Expression
Gm5099	ENSMUSG00000102716	Gm5099	Gene Expression
Aff3	ENSMUSG00000037138	Aff3	Gene Expression
Gm16150	ENSMUSG00000085391	Gm16150	Gene Expression
Gm16152	ENSMUSG00000087131	Gm16152	Gene Expression
2610300A13Rik	ENSMUSG00000103531	2610300A13Rik	Gene Expression
Lonrf2	ENSMUSG00000048814	Lonrf2	Gene Expression
Chst10	ENSMUSG00000026080	Chst10	Gene Expression
Nms	ENSMUSG00000067604	Nms	Gene Expression
Pdcl3	ENSMUSG00000026078	Pdcl3	Gene Expression
Gm37309	ENSMUSG00000103046	Gm37309	Gene Expression
Gm37821	ENSMUSG00000104188	Gm37821	Gene Expression
Gm37091	ENSMUSG00000103182	Gm37091	Gene Expression
Npas2	ENSMUSG00000026077	Npas2	Gene Expression
Gm3617	ENSMUSG00000092563	Gm3617	Gene Expression
Rpl31	ENSMUSG00000073702	Rpl31	Gene Expression
Tbc1d8	ENSMUSG00000003134	Tbc1d8	Gene Expression
Cnot11	ENSMUSG00000003135	Cnot11	Gene Expression
Gm15832	ENSMUSG00000085894	Gm15832	Gene Expression
Rnf149	ENSMUSG00000048234	Rnf149	Gene Expression
Gm23722	ENSMUSG00000064936	Gm23722	Gene Expression
Gm5100	ENSMUSG00000102471	Gm5100	Gene Expression
Creg2	ENSMUSG00000050967	Creg2	Gene Expression
D930019O06Rik	ENSMUSG00000097083	D930019O06Rik	Gene Expression
Rfx8	ENSMUSG00000057173	Rfx8	Gene Expression
1700066B17Rik	ENSMUSG00000101634	1700066B17Rik	Gene Expression
Map4k4	ENSMUSG00000026074	Map4k4	Gene Expression
4930456G14Rik	ENSMUSG00000102985	4930456G14Rik	Gene Expression
Il1r2	ENSMUSG00000026073	Il1r2	Gene Expression
Gm16894	ENSMUSG00000097899	Gm16894	Gene Expression
Il1r1	ENSMUSG00000026072	Il1r1	Gene Expression
Gm38070	ENSMUSG00000103560	Gm38070	Gene Expression
Il1rl2	ENSMUSG00000070942	Il1rl2	Gene Expression
Il1rl1	ENSMUSG00000026069	Il1rl1	Gene Expression
Il18r1	ENSMUSG00000026070	Il18r1	Gene Expression
Il18rap	ENSMUSG00000026068	Il18rap	Gene Expression
Gm35801	ENSMUSG00000104441	Gm35801	Gene Expression
Slc9a4	ENSMUSG00000026065	Slc9a4	Gene Expression
Gm37435	ENSMUSG00000102676	Gm37435	Gene Expression
Slc9a2	ENSMUSG00000026062	Slc9a2	Gene Expression
Gm37623	ENSMUSG00000103679	Gm37623	Gene Expression
Gm37915	ENSMUSG00000103270	Gm37915	Gene Expression
Mfsd9	ENSMUSG00000041945	Mfsd9	Gene Expression
Tmem182	ENSMUSG00000079588	Tmem182	Gene Expression
4930448I06Rik	ENSMUSG00000104072	4930448I06Rik	Gene Expression
Gm28634	ENSMUSG00000100185	Gm28634	Gene Expression
Gm29260	ENSMUSG00000100832	Gm29260	Gene Expression
Gm28140	ENSMUSG00000100180	Gm28140	Gene Expression
Gm37047	ENSMUSG00000103106	Gm37047	Gene Expression
Pantr1	ENSMUSG00000060424	Pantr1	Gene Expression
4930420N18Rik	ENSMUSG00000104199	4930420N18Rik	Gene Expression
Gm20646	ENSMUSG00000093436	Gm20646	Gene Expression
Pou3f3	ENSMUSG00000045515	Pou3f3	Gene Expression
Pantr2	ENSMUSG00000097063	Pantr2	Gene Expression
Mrps9	ENSMUSG00000060679	Mrps9	Gene Expression
Gpr45	ENSMUSG00000041907	Gpr45	Gene Expression
Tgfbrap1	ENSMUSG00000070939	Tgfbrap1	Gene Expression
8430432A02Rik	ENSMUSG00000041878	8430432A02Rik	Gene Expression
AI597479	ENSMUSG00000010290	AI597479	Gene Expression
Fhl2	ENSMUSG00000008136	Fhl2	Gene Expression
Gm29040	ENSMUSG00000099576	Gm29040	Gene Expression
Gm29610	ENSMUSG00000099694	Gm29610	Gene Expression
Nck2	ENSMUSG00000066877	Nck2	Gene Expression
Gm37536	ENSMUSG00000103422	Gm37536	Gene Expression
Gm38228	ENSMUSG00000103945	Gm38228	Gene Expression
1500015O10Rik	ENSMUSG00000026051	1500015O10Rik	Gene Expression
Gm29155	ENSMUSG00000100764	Gm29155	Gene Expression
Gm29156	ENSMUSG00000100480	Gm29156	Gene Expression
Uxs1	ENSMUSG00000057363	Uxs1	Gene Expression
Gm8241	ENSMUSG00000101395	Gm8241	Gene Expression
Tpp2	ENSMUSG00000041763	Tpp2	Gene Expression
Mettl21c	ENSMUSG00000047343	Mettl21c	Gene Expression
Gm8251	ENSMUSG00000091844	Gm8251	Gene Expression
Tex30	ENSMUSG00000026049	Tex30	Gene Expression
Kdelc1	ENSMUSG00000026047	Kdelc1	Gene Expression
Bivm	ENSMUSG00000041684	Bivm	Gene Expression
Ercc5	ENSMUSG00000026048	Ercc5	Gene Expression
Mettl21e	ENSMUSG00000046828	Mettl21e	Gene Expression
Gm15833	ENSMUSG00000089703	Gm15833	Gene Expression
Gm28893	ENSMUSG00000100769	Gm28893	Gene Expression
Gulp1	ENSMUSG00000056870	Gulp1	Gene Expression
4930521E06Rik	ENSMUSG00000101701	4930521E06Rik	Gene Expression
Gm19480	ENSMUSG00000100013	Gm19480	Gene Expression
Col3a1	ENSMUSG00000026043	Col3a1	Gene Expression
Col5a2	ENSMUSG00000026042	Col5a2	Gene Expression
Gm38211	ENSMUSG00000104476	Gm38211	Gene Expression
Gm7063	ENSMUSG00000100361	Gm7063	Gene Expression
Gm8304	ENSMUSG00000100894	Gm8304	Gene Expression
Wdr75	ENSMUSG00000025995	Wdr75	Gene Expression
Gm5526	ENSMUSG00000084817	Gm5526	Gene Expression
Slc40a1	ENSMUSG00000025993	Slc40a1	Gene Expression
Stk-ps2	ENSMUSG00000044457	Stk-ps2	Gene Expression
Gm18849	ENSMUSG00000099432	Gm18849	Gene Expression
Dnah7b	ENSMUSG00000041144	Dnah7b	Gene Expression
n-R5s211	ENSMUSG00000096047	n-R5s211	Gene Expression
Gm8326	ENSMUSG00000101262	Gm8326	Gene Expression
Dnah7c	ENSMUSG00000101337	Dnah7c	Gene Expression
Slc39a10	ENSMUSG00000025986	Slc39a10	Gene Expression
Gm28151	ENSMUSG00000100213	Gm28151	Gene Expression
