,gene,chrom
262,2310061I04Rik,chr17
264,2310061J03Rik,chr16
266,2310067B10Rik,chr11
268,2310068J16Rik,chr15
270,2410002F23Rik,chr7
272,2410004B18Rik,chr3
274,2410004N09Rik,chr18
276,2410004P03Rik,chr12
278,2410006H16Rik,chr11
280,2410015M20Rik,chr17
282,2410016O06Rik,chr12
284,2410089E03Rik,chr15
286,2410127L17Rik,chr19
288,2410131K14Rik,chr5
290,2500004C02Rik,chr2
292,2510002D24Rik,chr16
294,2510003E04Rik,chr10
296,2510009E07Rik,chr16
298,2510039O18Rik,chr4
300,2610001J05Rik,chr6
302,2610002J02Rik,chr4
304,2610002M06Rik,chrX
306,2610008E11Rik,chr10
308,2610015P09Rik,chr16
310,2610020C07Rik,chr16
312,2610020H08Rik,chr7
314,2610034B18Rik,chr7
316,2610035D17Rik,chr11
318,2610203C20Rik,chr9
320,2610203C22Rik,chr1
322,2610301B20Rik,chr4
324,2610306M01Rik,chr6
326,2610318N02Rik,chr16
328,2610507B11Rik,chr11
330,2610524H06Rik,chr5
332,2610528A11Rik,chr14
334,2700029M09Rik,chr8
336,2700049A03Rik,chr12
338,2700060E02Rik,chr14
340,2700062C07Rik,chr18
342,2700081O15Rik,chr19
344,2700089E24Rik,chr6
346,2700097O09Rik,chr12
348,2700099C18Rik,chr17
350,2810001G20Rik,chr11
352,2810002D19Rik,chr2
354,2810004N23Rik,chr8
356,2810006K23Rik,chr5
358,2810008D09Rik,chr11
360,2810025M15Rik,chr1
362,2810032G03Rik,chr12
364,2810055G20Rik,chr16
366,2810403A07Rik,chr3
368,2810403D21Rik,chrX
370,2810408A11Rik,chr11
372,2810408I11Rik,chr1
374,2810408M09Rik,chr2
376,2810410L24Rik,chr11
378,2810417H13Rik,chr9
380,2810428I15Rik,chr8
382,2810433D01Rik,chr11
384,2810474O19Rik,chr6
386,2900005J15Rik,chr5
388,2900026A02Rik,chr5
390,2900041M22Rik,chr11
392,2900060B14Rik,chr1
394,2900097C17Rik,chr2
396,3000002C10Rik,chr9
398,3010026O09Rik,chr11
400,3110001I22Rik,chr16
402,3110002H16Rik,chr18
404,3110009E18Rik,chr1
406,3110040N11Rik,chr7
408,3110043O21Rik,chr4
410,3110045C21Rik,chr1
412,3110052M02Rik,chr17
414,3110057O12Rik,chr3
416,3110062M04Rik,chr6
418,3110070M22Rik,chr13
420,3110082I17Rik,chr5
422,3300002I08Rik,chr2
424,3632451O06Rik,chr14
426,3830406C13Rik,chr14
428,3830408C21Rik,chr13
430,4430402I18Rik,chr19
432,4632415L05Rik,chr3
434,4632428N05Rik,chr10
436,4831440E17Rik,chr5
438,4833418N02Rik,chr17
440,4833419F23Rik,chr18
442,4833420G17Rik,chr13
444,4833427G06Rik,chr9
446,4833439L19Rik,chr13
448,4921531C22Rik,chr2
450,4921536K21Rik,chr11
452,4930402H24Rik,chr2
454,4930405A21Rik,chr2
456,4930426L09Rik,chr2
458,4930427A07Rik,chr12
460,4930429B21Rik,chr3
462,4930430F08Rik,chr10
464,4930432K21Rik,chr8
466,4930452B06Rik,chr14
468,4930453N24Rik,chr16
470,4930481A15Rik,chr19
472,4930483J18Rik,chr15
474,4930486L24Rik,chr13
476,4930503L19Rik,chr18
478,4930513N10Rik,chr8
480,4930515G01Rik,chr5
482,4930519F09Rik,chr10
484,4930523C07Rik,chr1
486,4930528A17Rik,chr4
488,4930550C14Rik,chr9
490,4930558J18Rik,chr1
492,4930563E22Rik,chr11
494,4930579G18Rik,chr14
496,4930579G24Rik,chr3
498,4930579K19Rik,chr9
500,4930581F22Rik,chr9
502,4931403G20Rik,chr12
504,4931406C07Rik,chr9
506,4931406H21Rik,chr14
508,4931406P16Rik,chr7
510,4931414P19Rik,chr14
512,4931428F04Rik,chr8
514,4931440P22Rik,chr3
516,4932416H05Rik,chr2
518,4932438A13Rik,chr3
520,4933400F21Rik,chr1
522,4933404O12Rik,chr5
524,4933407K13Rik,chrX
526,4933408B17Rik,chr18
528,4933411K20Rik,chr8
530,4933412E12Rik,chr10
532,4933421O10Rik,chr4
534,4933426M11Rik,chr12
536,4933427D14Rik,chr11
538,4933427E11Rik,chr15
540,4933431E20Rik,chr3
542,4933434E20Rik,chr3
544,4933439C10Rik,chr11
546,5031414D18Rik,chr14
548,5031426D15Rik,chr2
550,5031439G07Rik,chr15
552,5033406O09Rik,chr12
554,5330426P16Rik,chr16
556,5430402O13Rik,chr6
558,5430405H02Rik,chr2
560,5430416N02Rik,chr5
562,5430417L22Rik,chr2
564,5430435G22Rik,chr1
566,5530601H04Rik,chrX
568,5730405O15Rik,chrX
570,5730408K05Rik,chr19
572,5730409E04Rik,chr4
574,5730455P16Rik,chr11
576,5730508B09Rik,chr3
578,5730559C18Rik,chr1
580,5830415F09Rik,chr4
582,5830417I10Rik,chr3
584,5830418K08Rik,chr9
586,5830432E09Rik,chr7
588,6030419C18Rik,chr9
590,6030458C11Rik,chr15
592,6230400D17Rik,chr14
594,6330403K07Rik,chr11
596,6330408A02Rik,chr7
598,6330416G13Rik,chr4
600,6330549D23Rik,chr3
602,6430548M08Rik,chr8
604,6430550D23Rik,chr2
606,6530402F18Rik,chr2
608,6720489N17Rik,chr13
610,8030462N17Rik,chr18
612,8430419L09Rik,chr6
614,8430429K09Rik,chr11
616,9030617O03Rik,chr12
618,9030624J02Rik,chr7
620,9130008F23Rik,chr17
622,9130011E15Rik,chr19
624,9130023H24Rik,chr7
626,9130024F11Rik,chr1
628,9130401M01Rik,chr15
630,9230110C19Rik,chr9
632,9230114K14Rik,chr5
634,9330020H09Rik,chr15
636,9330133O14Rik,chr8
638,9330151L19Rik,chr12
640,9330159F19Rik,chr10
642,9330179D12Rik,chr6
644,9430008C03Rik,chr2
646,9430015G10Rik,chr4
648,9430016H08Rik,chr1
650,9430020K01Rik,chr18
652,9430038I01Rik,chr7
654,9530053A07Rik,chr7
656,9530068E07Rik,chr11
658,9530077C05Rik,chr9
660,9530082P21Rik,chr17
662,9530091C08Rik,chr9
664,9630033F20Rik,chr6
666,9830147E19Rik,chr7
668,9930012K11Rik,chr14
670,9930014A18Rik,chr15
672,9930021J03Rik,chr19
674,9930104L06Rik,chr4
676,A130010J15Rik,chr1
678,A230020J21Rik,chr1
680,A230046K03Rik,chr10
682,A230050P20Rik,chr9
684,A230056P14Rik,chr7
686,A230057D06Rik,chr7
688,A230072C01Rik,chrX
690,A230073K19Rik,chr7
692,A330021E22Rik,chr5
694,A330035P11Rik,chr14
696,A330069E16Rik,chr2
698,A430005L14Rik,chr4
700,A430033K04Rik,chr5
702,A430035B10Rik,chr6
704,A430105I19Rik,chr2
706,A4galt,chr15
708,A530013C23Rik,chr2
710,A530054K11Rik,chr13
712,A630001G21Rik,chr1
714,A630033H20Rik,chrX
716,A630066F11Rik,chr10
718,A630072M18Rik,chr5
720,A630089N07Rik,chr16
722,A730020M07Rik,chr3
724,A730090N16Rik,chr3
726,A830010M20Rik,chr5
728,A830080D01Rik,chrX
730,A930004D18Rik,chr2
732,A930005H10Rik,chr3
734,A930012L18Rik,chr18
736,A930013F10Rik,chr8
738,AA415398,chr4
740,AA465934,chr11
742,AA467197,chr2
744,AA474331,chr10
746,AA543186,chr2
748,AA986860,chr1
750,AA987161,chr13
752,AB124611,chr9
754,AI314180,chr4
756,AI413582,chr17
758,AI414108,chr9
760,AI450353,chr11
762,AI462493,chr19
764,AI464131,chr4
766,AI593442,chr9
768,AI597479,chr1
770,AI607873,chr1
772,AI837181,chr19
774,AI846148,chr19
776,AI854703,chr6
778,AI987944,chr7
780,AK010878,chr12
782,AK129341,chr9
784,AU019823,chr9
786,AU022252,chr4
788,AU040320,chr4
790,AU041133,chr10
792,AV051173,chr4
794,AW011738,chr4
796,AW146154,chr7
798,AW209491,chr13
800,AW549877,chr15
802,AW554918,chr18
804,Aacs,chr5
806,Aadat,chr8
808,Aagab,chr9
810,Aak1,chr6
812,Aamp,chr1
814,Aars2,chr17
816,Aars,chr8
818,Aarsd1,chr11
820,Aasdh,chr5
822,Aasdhppt,chr9
824,Aatf,chr11
826,Abat,chr16
828,Abca1,chr4
830,Abca2,chr2
832,Abca3,chr17
834,Abca4,chr3
836,Abca5,chr11
838,Abca7,chr10
840,Abca8b,chr11
842,Abca9,chr11
844,Abcb10,chr8
846,Abcb1a,chr5
848,Abcb1b,chr5
850,Abcb6,chr1
852,Abcb7,chrX
854,Abcb8,chr5
856,Abcb9,chr5
858,Abcc10,chr17
860,Abcc1,chr16
862,Abcc3,chr11
864,Abcc4,chr14
866,Abcc5,chr16
868,Abcd1,chrX
870,Abcd2,chr15
872,Abcd3,chr3
874,Abcd4,chr12
876,Abce1,chr8
878,Abcf1,chr17
880,Abcf2,chr5
882,Abcf3,chr16
884,Abcg1,chr17
886,Abcg2,chr6
888,Abhd11,chr5
890,Abhd12,chr2
892,Abhd13,chr8
894,Abhd15,chr11
896,Abhd16a,chr17
898,Abhd1,chr5
900,Abhd2,chr7
902,Abhd3,chr18
904,Abhd4,chr14
906,Abhd5,chr9
908,Abhd6,chr14
910,Abhd8,chr8
912,Abi1,chr2
914,Abi2,chr1
916,Abi3,chr11
918,Abi3bp,chr16
920,Abl2,chr1
922,Ablim1,chr19
924,Ablim3,chr18
926,Abr,chr11
928,Abtb1,chr6
930,Abtb2,chr2
932,Acaa1a,chr9
934,Acaa2,chr18
936,Acaca,chr11
938,Acacb,chr5
940,Acad10,chr5
942,Acad11,chr9
944,Acad12,chr5
946,Acad8,chr9
948,Acad9,chr3
950,Acadl,chr1
952,Acadm,chr3
954,Acads,chr5
956,Acadsb,chr7
958,Acap2,chr16
960,Acap3,chr4
962,Acat1,chr9
964,Acat2,chr17
966,Acbd3,chr1
968,Acbd5,chr2
970,Acbd6,chr1
972,Accs,chr2
974,Acd,chr8
976,Ace,chr11
978,Acer2,chr4
980,Acer3,chr7
982,Acin1,chr14
984,Acly,chr11
986,Acn9,chr6
988,Aco1,chr4
990,Aco2,chr15
992,Acot11,chr4
994,Acot13,chr13
996,Acot1,chr12
998,Acot2,chr12
1000,Acot4,chr12
1002,Acot6,chr12
1004,Acot7,chr4
1006,Acot8,chr2
1008,Acot9,chrX
1010,Acox1,chr11
1012,Acox3,chr5
1014,Acp1,chr12
1016,Acp2,chr2
1018,Acp5,chr9
1020,Acp6,chr3
1022,Acpp,chr9
1024,Acrbp,chr6
1026,Acsbg1,chr9
1028,Acsf2,chr11
1030,Acsf3,chr8
1032,Acsl1,chr8
1034,Acsl3,chr1
1036,Acsl4,chrX
1038,Acsl5,chr19
1040,Acsl6,chr11
1042,Acsm3,chr7
1044,Acss2,chr2
1046,Acta1,chr8
1048,Acta2,chr19
1050,Actg1,chr11
1052,Actg2,chr6
1054,Actl6a,chr3
1056,Actn1,chr12
1058,Actn3,chr19
1060,Actn4,chr7
1062,Actr10,chr12
1064,Actr1a,chr19
1066,Actr1b,chr1
1068,Actr2,chr11
1070,Actr3,chr1
1072,Actr3b,chr5
1074,Actr5,chr2
1076,Actr6,chr10
1078,Actr8,chr14
1080,Acvr1,chr2
1082,Acvr1b,chr15
1084,Acvr2a,chr2
1086,Acvrl1,chr15
1088,Acy3,chr19
1090,Acyp1,chr12
1092,Acyp2,chr11
1094,Ada,chr2
1096,Adal,chr2
1098,Adam10,chr9
1100,Adam12,chr7
1102,Adam15,chr3
1104,Adam17,chr12
1106,Adam19,chr11
1108,Adam1a,chr5
1110,Adam22,chr5
1112,Adam23,chr1
1114,Adam32,chr8
1116,Adam33,chr2
1118,Adam5,chr8
1120,Adam8,chr7
1122,Adam9,chr8
1124,Adamts10,chr17
1126,Adamts12,chr15
1128,Adamts14,chr10
1130,Adamts15,chr9
1132,Adamts1,chr16
1134,Adamts2,chr11
1136,Adamts5,chr16
1138,Adamts6,chr13
1140,Adamts7,chr9
1142,Adamts9,chr6
1144,Adamtsl1,chr4
1146,Adamtsl3,chr7
1148,Adamtsl4,chr3
1150,Adamtsl5,chr10
1152,Adap1,chr5
1154,Adar,chr3
1156,Adarb1,chr10
1158,Adat1,chr8
1160,Adat2,chr10
1162,Adat3,chr10
1164,Adck1,chr12
1166,Adck2,chr6
1168,Adck3,chr1
1170,Adck4,chr7
1172,Adck5,chr15
1174,Adcy2,chr13
1176,Adcy3,chr12
1178,Adcy4,chr14
1180,Adcy5,chr16
1182,Adcy6,chr15
1184,Adcy7,chr8
1186,Adcy9,chr16
1188,Adcyap1r1,chr6
1190,Add1,chr5
1192,Add2,chr6
1194,Adh1,chr3
1196,Adh5,chr3
1198,Adh7,chr3
1200,Adhfe1,chr1
1202,Adi1,chr12
1204,Adipor1,chr1
1206,Adipor2,chr6
1208,Adk,chr14
1210,Adm2,chr15
1212,Adnp2,chr18
1214,Adnp,chr2
1216,Ado,chr10
1218,Adora2b,chr11
1220,Adpgk,chr9
1222,Adprhl2,chr4
1224,Adra1b,chr11
1226,Adra1d,chr2
1228,Adra2a,chr19
1230,Adrb2,chr18
1232,Adrb3,chr8
1234,Adrbk1,chr19
1236,Adsl,chr15
1238,Adss,chr1
1240,Adssl1,chr12
1242,Aebp1,chr11
1244,Aebp2,chr6
1246,Aen,chr7
1248,Aes,chr10
1250,Afap1,chr5
1252,Afap1l2,chr19
1254,Aff1,chr5
1256,Aff4,chr11
1258,Afg3l1,chr8
1260,Afg3l2,chr18
1262,Afmid,chr11
1264,Aftph,chr11
1266,Aga,chr8
1268,Agap1,chr1
1270,Agap3,chr5
1272,Agbl3,chr6
1274,Agbl5,chr5
1276,Agfg1,chr1
1278,Agfg2,chr5
1280,Aggf1,chr13
1282,Agl,chr3
1284,Agmo,chr12
1286,Agpat1,chr17
1288,Agpat2,chr2
1290,Agpat3,chr10
1292,Agpat4,chr17
1294,Agpat5,chr8
1296,Agpat6,chr8
1298,Agpat9,chr5
1300,Agps,chr2
1302,Agrn,chr4
1304,Agtpbp1,chr13
1306,Agtr1a,chr13
1308,Agtrap,chr4
1310,Agxt,chr1
1312,Ahctf1,chr1
1314,Ahcy,chr2
1316,Ahcyl1,chr3
1318,Ahcyl2,chr6
1320,Ahdc1,chr4
1322,Ahi1,chr10
1324,Ahnak,chr19
1326,Ahr,chr12
1328,Ahrr,chr13
1330,Ahsa2,chr11
1332,Aifm2,chr10
1334,Aig1,chr10
1336,Aim1,chr10
1338,Aimp1,chr3
1340,Aimp2,chr5
1342,Aip,chr19
1344,Airn,chr17
1346,Ak2,chr4
1348,Ak3,chr19
1350,Ak4,chr4
1352,Ak5,chr3
1354,Akap10,chr11
1356,Akap11,chr14
1358,Akap12,chr10
1360,Akap13,chr7
1362,Akap17b,chrX
1364,Akap2,chr4
1366,Akap5,chr12
1368,Akap6,chr12
1370,Akap7,chr10
1372,Akap8,chr17
1374,Akap9,chr5
1376,Akirin1,chr4
1378,Akirin2,chr4
1380,Akna,chr4
1382,Akr1b10,chr6
1384,Akr1b3,chr6
1386,Akr1b8,chr6
1388,Akr1c13,chr13
1390,Akr1c14,chr13
1392,Akr1c18,chr13
1394,Akr1c19,chr13
1396,Akr1e1,chr13
1398,Akr7a5,chr4
1400,Akt1,chr12
1402,Akt1s1,chr7
1404,Akt2,chr7
1406,Akt3,chr1
1408,Aktip,chr8
1410,Alas1,chr9
1412,Alcam,chr16
1414,Aldh16a1,chr7
1416,Aldh18a1,chr19
1418,Aldh1a1,chr19
1420,Aldh1a2,chr9
1422,Aldh1a3,chr7
1424,Aldh1a7,chr19
1426,Aldh1b1,chr4
1428,Aldh1l2,chr10
1430,Aldh2,chr5
1432,Aldh3a1,chr11
1434,Aldh3a2,chr11
1436,Aldh3b1,chr19
1438,Aldh4a1,chr4
1440,Aldh5a1,chr13
1442,Aldh6a1,chr12
1444,Aldh7a1,chr18
1446,Aldh9a1,chr1
1448,Aldoa,chr7
1450,Aldoart2,chr12
1452,Aldoc,chr11
1454,Alg10b,chr15
1456,Alg11,chr8
1458,Alg13,chrX
1460,Alg14,chr3
1462,Alg1,chr16
1464,Alg2,chr4
1466,Alg3,chr16
1468,Alg5,chr3
1470,Alg6,chr4
1472,Alg8,chr7
1474,Alg9,chr9
1476,Alkbh1,chr12
1478,Alkbh2,chr5
1480,Alkbh3,chr2
1482,Alkbh4,chr5
1484,Alkbh5,chr11
1486,Alkbh6,chr7
1488,Alkbh8,chr9
1490,Alms1,chr6
1492,Alox12,chr11
1494,Alox5,chr6
1496,Alox5ap,chr5
1498,Aloxe3,chr11
1500,Alpk1,chr3
1502,Alpl,chr4
1504,Als2,chr1
1506,Als2cl,chr9
1508,Alx3,chr3
1510,Amacr,chr15
1512,Ambra1,chr2
1514,Amdhd2,chr17
1516,Amfr,chr8
1518,Amigo1,chr3
1520,Amigo2,chr15
1522,Amigo3,chr9
1524,Ammecr1,chrX
1526,Ammecr1l,chr18
1528,Amn,chr12
1530,Amot,chrX
1532,Amotl1,chr9
1534,Ampd2,chr3
1536,Ampd3,chr7
1538,Amz1,chr5
1540,Amz2,chr11
1542,Anapc10,chr8
1544,Anapc16,chr10
1546,Anapc1,chr2
1548,Anapc2,chr2
1550,Anapc4,chr5
1552,Anapc5,chr5
1554,Anapc7,chr5
1556,Ang2,chr14
1558,Angel1,chr12
1560,Angel2,chr1
1562,Angpt1,chr15
1564,Angpt2,chr8
1566,Angpt4,chr2
1568,Angptl2,chr2
1570,Angptl3,chr4
1572,Angptl6,chr9
1574,Angptl7,chr4
1576,Ank2,chr3
1578,Ank3,chr10
1580,Ank,chr15
1582,Ankdd1b,chr13
1584,Ankfy1,chr11
1586,Ankhd1,chr18
1588,Ankib1,chr5
1590,Ankle2,chr5
1592,Ankmy2,chr12
1594,Ankra2,chr13
1596,Ankrd10,chr8
1598,Ankrd11,chr8
1600,Ankrd12,chr17
1602,Ankrd13a,chr5
1604,Ankrd13b,chr11
1606,Ankrd13c,chr3
1608,Ankrd13d,chr19
1610,Ankrd16,chr2
1612,Ankrd17,chr5
1614,Ankrd23,chr1
1616,Ankrd24,chr10
1618,Ankrd26,chr6
1620,Ankrd27,chr7
1622,Ankrd28,chr14
1624,Ankrd29,chr18
1626,Ankrd2,chr19
1628,Ankrd32,chr13
1630,Ankrd37,chr8
1632,Ankrd39,chr1
1634,Ankrd40,chr11
1636,Ankrd42,chr7
1638,Ankrd44,chr1
1640,Ankrd46,chr15
1642,Ankrd49,chr9
1644,Ankrd50,chr3
1646,Ankrd52,chr10
1648,Ankrd54,chr15
1650,Ankrd55,chr13
1652,Ankrd6,chr4
1654,Ankrd9,chr12
1656,Anks1,chr17
1658,Anks3,chr16
1660,Anks6,chr4
1662,Ankzf1,chr1
1664,Anln,chr9
1666,Ano10,chr9
1668,Ano1,chr7
1670,Ano6,chr15
1672,Ano7,chr1
1674,Anp32a,chr9
1676,Anp32b,chr4
1678,Anp32e,chr3
1680,Anpep,chr7
1682,Antxr1,chr6
1684,Antxr2,chr5
1686,Anxa11,chr14
1688,Anxa1,chr19
1690,Anxa2,chr9
1692,Anxa3,chr5
1694,Anxa4,chr6
1696,Anxa5,chr3
1698,Anxa6,chr11
1700,Anxa7,chr14
1702,Anxa8,chr14
1704,Anxa9,chr3
1706,Aoc2,chr11
1708,Aoc3,chr11
1710,Aox1,chr1
1712,Ap1ar,chr3
1714,Ap1b1,chr11
1716,Ap1g1,chr8
1718,Ap1g2,chr14
1720,Ap1m1,chr8
1722,Ap1s1,chr5
1724,Ap1s2,chrX
1726,Ap1s3,chr1
1728,Ap2a1,chr7
1730,Ap2a2,chr7
1732,Ap2b1,chr11
1734,Ap2m1,chr16
1736,Ap2s1,chr7
1738,Ap3b1,chr13
1740,Ap3b2,chr7
1742,Ap3d1,chr10
1744,Ap3m1,chr14
1746,Ap3m2,chr8
1748,Ap3s1,chr18
1750,Ap3s2,chr7
1752,Ap4b1,chr3
1754,Ap4e1,chr2
1756,Ap4m1,chr5
1758,Ap4s1,chr12
1760,Apaf1,chr10
1762,Apba1,chr19
1764,Apba3,chr10
1766,Apbb1,chr7
1768,Apbb1ip,chr2
1770,Apbb2,chr5
1772,Apc,chr18
1774,Apcdd1,chr18
1776,Apex2,chrX
1778,Aph1a,chr3
1780,Aph1b,chr9
1782,Aph1c,chr9
1784,Api5,chr2
1786,Apip,chr2
1788,Apitd1,chr4
1790,Aplf,chr6
1792,Apln,chrX
1794,Aplp1,chr7
1796,Aplp2,chr9
1798,Apoa1bp,chr3
1800,Apobec1,chr6
1802,Apobec3,chr15
1804,Apobr,chr7
1806,Apod,chr16
1808,Apoh,chr11
1810,Apol10b,chr15
1812,Apol6,chr15
1814,Apol7d,chr1
1816,Apold1,chr6
1818,Apom,chr17
1820,Apon,chr10
1822,Apoo,chrX
1824,App,chr16
1826,Appbp2,chr11
1828,Appl1,chr14
1830,Appl2,chr10
1832,Aprt,chr8
1834,Aptx,chr4
1836,Aqp1,chr6
1838,Aqr,chr2
1840,Araf,chrX
1842,Arap1,chr7
1844,Arap2,chr5
1846,Arap3,chr18
1848,Arc,chr15
1850,Arcn1,chr9
1852,Arf2,chr11
1854,Arf3,chr15
1856,Arf4,chr14
1858,Arf5,chr6
1860,Arf6,chr12
1862,Arfgap1,chr2
1864,Arfgap2,chr2
1866,Arfgap3,chr15
1868,Arfgef1,chr1
1870,Arfgef2,chr2
1872,Arfip1,chr3
1874,Arfip2,chr7
1876,Arfrp1,chr2
1878,Arglu1,chr8
1880,Arhgap10,chr8
1882,Arhgap11a,chr2
1884,Arhgap12,chr18
1886,Arhgap17,chr7
1888,Arhgap18,chr10
1890,Arhgap19,chr19
1892,Arhgap1,chr2
1894,Arhgap20,chr9
1896,Arhgap21,chr2
1898,Arhgap22,chr14
1900,Arhgap23,chr11
1902,Arhgap24,chr5
1904,Arhgap26,chr18
1906,Arhgap27,chr11
1908,Arhgap28,chr17
1910,Arhgap29,chr3
1912,Arhgap31,chr16
1914,Arhgap32,chr9
1916,Arhgap33,chr7
1918,Arhgap39,chr15
1920,Arhgap42,chr9
1922,Arhgap44,chr11
1924,Arhgap5,chr12
1926,Arhgap8,chr15
1928,Arhgdib,chr6
1930,Arhgdig,chr17
1932,Arhgef10,chr8
1934,Arhgef10l,chr4
1936,Arhgef11,chr3
1938,Arhgef12,chr9
1940,Arhgef17,chr7
1942,Arhgef18,chr8
1944,Arhgef19,chr4
1946,Arhgef1,chr7
1948,Arhgef25,chr10
1950,Arhgef2,chr3
1952,Arhgef3,chr14
1954,Arhgef40,chr14
1956,Arhgef4,chr1
1958,Arhgef5,chr6
1960,Arhgef6,chrX
1962,Arhgef7,chr8
1964,Arhgef9,chrX
1966,Arid1a,chr4
1968,Arid1b,chr17
1970,Arid2,chr15
1972,Arid3a,chr10
1974,Arid3b,chr9
1976,Arid4a,chr12
1978,Arid4b,chr13
1980,Arid5a,chr1
1982,Arid5b,chr10
1984,Arih1,chr9
1986,Arih2,chr9
1988,Arl10,chr13
1990,Arl13b,chr16
1992,Arl15,chr13
1994,Arl1,chr10
1996,Arl2,chr19
1998,Arl2bp,chr8
2000,Arl4a,chr12
2002,Arl4c,chr1
2004,Arl4d,chr11
2006,Arl5a,chr2
2008,Arl5b,chr2
2010,Arl5c,chr11
2012,Arl6,chr16
2014,Arl6ip1,chr7
2016,Arl6ip4,chr5
2018,Arl6ip5,chr6
2020,Arl6ip6,chr2
2022,Arl8a,chr1
2024,Arl8b,chr6
2026,Armc10,chr5
2028,Armc1,chr3
2030,Armc5,chr7
2032,Armc7,chr11
2034,Armc8,chr9
2036,Armc9,chr1
2038,Armcx1,chrX
2040,Armcx2,chrX
2042,Armcx4,chrX
2044,Armcx5,chrX
2046,Armcx6,chrX
2048,Arnt2,chr7
2050,Arnt,chr3
2052,Arntl2,chr6
2054,Arntl,chr7
2056,Arpc1a,chr5
2058,Arpc1b,chr5
2060,Arpc2,chr1
2062,Arpc3,chr5
2064,Arpc4,chr6
2066,Arpc5,chr1
2068,Arpc5l,chr2
2070,Arpp19,chr9
